iter	Passed	Remaining
0	232	115994
1	280	69898
2	327	54194
3	363	45076
4	401	39707
5	434	35813
6	456	32184
7	488	30066
8	519	28335
9	552	27085
10	578	25721
11	605	24625
12	628	23539
13	648	22516
14	668	21602
15	687	20790
16	709	20156
17	729	19533
18	751	19019
19	772	18536
20	792	18066
21	811	17632
22	833	17287
23	855	16958
24	876	16661
25	901	16427
26	921	16150
27	942	15894
28	965	15677
29	985	15445
30	1006	15221
31	1026	15018
32	1047	14817
33	1066	14612
34	1086	14435
35	1107	14268
36	1128	14122
37	1148	13957
38	1167	13803
39	1191	13700
40	1212	13572
41	1232	13441
42	1251	13302
43	1270	13169
44	1289	13034
45	1307	12902
46	1326	12789
47	1346	12674
48	1365	12570
49	1384	12461
50	1403	12358
51	1422	12257
52	1442	12162
53	1460	12066
54	1480	11977
55	1500	11896
56	1519	11809
57	1539	11729
58	1560	11662
59	1580	11588
60	1599	11513
61	1618	11436
62	1639	11373
63	1659	11307
64	1679	11239
65	1699	11172
66	1721	11122
67	1741	11061
68	1760	10998
69	1780	10936
70	1799	10873
71	1819	10816
72	1838	10754
73	1857	10695
74	1877	10636
75	1895	10575
76	1914	10517
77	1932	10455
78	1951	10402
79	1974	10367
80	2000	10350
81	2022	10307
82	2042	10261
83	2062	10213
84	2081	10164
85	2101	10117
86	2121	10071
87	2141	10025
88	2161	9980
89	2182	9943
90	2203	9903
91	2222	9857
92	2242	9812
93	2261	9766
94	2279	9719
95	2298	9673
96	2317	9629
97	2337	9588
98	2356	9546
99	2376	9504
100	2394	9460
101	2413	9418
102	2435	9385
103	2454	9346
104	2473	9306
105	2493	9269
106	2513	9231
107	2532	9191
108	2551	9152
109	2573	9122
110	2592	9086
111	2612	9049
112	2631	9013
113	2651	8979
114	2671	8942
115	2689	8904
116	2712	8879
117	2733	8849
118	2752	8813
119	2772	8778
120	2795	8756
121	2818	8733
122	2842	8711
123	2867	8693
124	2888	8664
125	2908	8633
126	2929	8604
127	2949	8572
128	2970	8542
129	2992	8517
130	3013	8487
131	3032	8455
132	3053	8425
133	3073	8393
134	3092	8360
135	3113	8334
136	3133	8302
137	3152	8269
138	3171	8236
139	3190	8203
140	3209	8172
141	3229	8141
142	3250	8114
143	3269	8083
144	3288	8051
145	3307	8019
146	3326	7989
147	3347	7961
148	3367	7932
149	3387	7903
150	3406	7873
151	3425	7843
152	3444	7812
153	3463	7782
154	3483	7754
155	3504	7728
156	3523	7697
157	3545	7674
158	3565	7647
159	3586	7620
160	3607	7595
161	3625	7564
162	3646	7538
163	3665	7509
164	3684	7481
165	3705	7455
166	3726	7429
167	3746	7402
168	3766	7377
169	3786	7349
170	3806	7323
171	3826	7297
172	3845	7268
173	3864	7241
174	3884	7214
175	3904	7188
176	3924	7162
177	3944	7136
178	3964	7110
179	3984	7083
180	4004	7058
181	4025	7033
182	4044	7006
183	4064	6980
184	4084	6954
185	4104	6929
186	4123	6902
187	4144	6877
188	4163	6851
189	4184	6826
190	4203	6800
191	4222	6774
192	4243	6750
193	4264	6726
194	4285	6702
195	4305	6677
196	4324	6651
197	4343	6625
198	4363	6600
199	4383	6574
200	4402	6548
201	4421	6522
202	4441	6498
203	4462	6475
204	4483	6451
205	4502	6425
206	4521	6400
207	4540	6374
208	4559	6348
209	4581	6326
210	4604	6305
211	4623	6280
212	4642	6254
213	4661	6229
214	4679	6203
215	4698	6177
216	4717	6151
217	4736	6127
218	4755	6101
219	4774	6076
220	4793	6050
221	4812	6026
222	4831	6001
223	4852	5978
224	4871	5953
225	4890	5928
226	4909	5904
227	4927	5879
228	4947	5854
229	4967	5831
230	4987	5808
