text,disease
My main problems are joint pain and eye pain.,Dengue
"I am suffering from wheezing, shortness of breath, cough and chest tightness.",Asthma
"I have symptoms like headache, dry cough and shortness of breath.",COVID-19
I am suffering from weakness and stomach pain.,Typhoid
"I am dealing with cough, shortness of breath, chest tightness and wheezing.",Asthma
"For the last few days, I noticed itchy eyes, runny nose, skin rash and sneezing.",Allergy
I am suffering from nausea and vomiting.,Food Poisoning
"Lately I am having fever, shortness of breath, fatigue and dry cough.",COVID-19
I have symptoms like blurred vision and weight loss.,Diabetes
"I feel sensitivity to light, nausea and vomiting.",Migraine
"I have been experiencing dizziness, chest discomfort and headache for the past few days.",Hypertension
"I am dealing with blurred vision, increased thirst and weight loss.",Diabetes
I am dealing with chest discomfort and dizziness.,Hypertension
"I feel headache, high fever and rash.",Dengue
"I have been experiencing severe headache, vomiting, nausea and sensitivity to light for the past few days.",Migraine
"I feel itchy eyes, skin rash and sneezing.",Allergy
"My main problems are chest discomfort, headache, dizziness and blurred vision.",Hypertension
"I have been experiencing vomiting, sensitivity to light, severe headache and nausea for the past few days.",Migraine
"For the last few days, I noticed fever, nausea, headache and chills.",Malaria
"For the last few days, I noticed severe headache and nausea.",Migraine
"For the last few days, I noticed sensitivity to light and vomiting.",Migraine
I have been experiencing swelling and reduced movement for the past few days.,Arthritis
"For the last few days, I noticed wheezing and chest tightness.",Asthma
"I am suffering from frequent urination, fatigue and increased thirst.",Diabetes
"For the last few days, I noticed dry cough, fever, loss of smell and shortness of breath.",COVID-19
"I have symptoms like headache, dizziness, chest discomfort and blurred vision.",Hypertension
"I feel shortness of breath, dizziness, pale skin and fatigue.",Anemia
"I am dealing with congestion, mild cough and sore throat.",Common Cold
"I have symptoms like indigestion, nausea, bloating and loss of appetite.",Gastritis
I have symptoms like shortness of breath and pale skin.,Anemia
"I am suffering from fever, headache, chills and nausea.",Malaria
"For the last few days, I noticed sensitivity to light and nausea.",Migraine
"Lately I am having runny nose, sneezing and itchy eyes.",Allergy
My main problems are headache and fatigue.,COVID-19
"Lately I am having frequent urination, fatigue and blurred vision.",Diabetes
"I am suffering from loss of smell, fever and dry cough.",COVID-19
I have been experiencing indigestion and nausea for the past few days.,Gastritis
"I have symptoms like indigestion, stomach pain, bloating and loss of appetite.",Gastritis
"I have been experiencing severe headache, vomiting and nausea for the past few days.",Migraine
"I feel nausea, severe headache and vomiting.",Migraine
"I feel headache, blurred vision and chest discomfort.",Hypertension
Lately I am having fever and nausea.,Food Poisoning
"I have been experiencing nausea, severe headache and sensitivity to light for the past few days.",Migraine
"I feel shortness of breath, cough, chest tightness and wheezing.",Asthma
"Lately I am having loss of smell, shortness of breath and headache.",COVID-19
"Lately I am having chest discomfort, dizziness, blurred vision and headache.",Hypertension
"I am suffering from chills, cough, headache and fatigue.",Flu
"For the last few days, I noticed loss of appetite and headache.",Typhoid
"I am dealing with fever, shortness of breath, headache and fatigue.",COVID-19
"For the last few days, I noticed fever and chills.",Malaria
I have been experiencing blurred vision and dizziness for the past few days.,Hypertension
"I am suffering from fever, sore throat, cough and chills.",Flu
"Lately I am having eye pain, rash, high fever and headache.",Dengue
"I feel fatigue, weight loss, frequent urination and increased thirst.",Diabetes
"I am dealing with reduced movement, stiffness, swelling and joint pain.",Arthritis
Lately I am having pale skin and shortness of breath.,Anemia
"I have symptoms like loss of smell, shortness of breath and dry cough.",COVID-19
"My main problems are reduced movement, joint pain, swelling and stiffness.",Arthritis
"I am suffering from dizziness, shortness of breath and fatigue.",Anemia
I have been experiencing stomach pain and indigestion for the past few days.,Gastritis
"For the last few days, I noticed sneezing, sore throat and congestion.",Common Cold
"My main problems are prolonged fever, loss of appetite, headache and stomach pain.",Typhoid
"I am suffering from chills, body pain and cough.",Flu
"I have symptoms like rash, high fever and joint pain.",Dengue
"I feel fatigue, increased thirst, weight loss and blurred vision.",Diabetes
"Lately I am having fever, nausea and sweating.",Malaria
"I have symptoms like weakness, headache, loss of appetite and stomach pain.",Typhoid
"For the last few days, I noticed nausea, vomiting and sensitivity to light.",Migraine
I have been experiencing shortness of breath and cough for the past few days.,Asthma
"I am suffering from chills, fever, headache and sweating.",Malaria
"I am dealing with headache, chest discomfort and blurred vision.",Hypertension
"I am suffering from sweating, chills, nausea and fever.",Malaria
"My main problems are nausea, bloating, indigestion and loss of appetite.",Gastritis
"I have symptoms like weight loss, increased thirst and fatigue.",Diabetes
My main problems are weakness and prolonged fever.,Typhoid
"I am dealing with chills, nausea and fever.",Malaria
"For the last few days, I noticed fatigue, headache, cough and chills.",Flu
"I have been experiencing fatigue, dry cough, fever and shortness of breath for the past few days.",COVID-19
I have been experiencing eye pain and high fever for the past few days.,Dengue
"I have been experiencing high fever, rash and eye pain for the past few days.",Dengue
"I am suffering from fatigue, shortness of breath, loss of smell and headache.",COVID-19
Lately I am having chest discomfort and dizziness.,Hypertension
"I am suffering from fever, nausea and headache.",Malaria
